,月份,每月的每单平均交易额,日均订单量
0,1,4.504477611940299,10.806451612903226
1,2,3.8596491228070176,4.071428571428571
2,3,3.5843137254901962,8.225806451612904
3,4,4.03579418344519,14.9
4,5,4.477513227513228,24.387096774193548
5,6,4.047333732774116,55.63333333333333
6,7,4.0966386554621845,15.35483870967742
7,8,3.3573573573573574,21.483870967741936
8,9,4.306730769230769,34.666666666666664
9,10,4.020447284345048,50.483870967741936
10,11,4.471551724137931,38.666666666666664
11,12,3.7878182725911134,64.61290322580645
