,月份,每月的每单平均交易额,日均订单量
0,1,4.327176781002638,12.225806451612904
1,2,3.8260869565217392,7.392857142857143
2,3,3.7680608365019013,8.483870967741936
3,4,4.4032697547683926,24.466666666666665
4,5,4.726235741444867,25.451612903225808
5,6,4.501594048884166,62.733333333333334
6,7,3.988219895287958,24.64516129032258
7,8,3.9134233518665607,40.61290322580645
8,9,4.427294398092968,55.93333333333333
9,10,4.273014440433213,71.48387096774194
10,11,4.352032938754503,64.76666666666667
11,12,3.942833123160992,76.74193548387096
