,月份,每月的每单平均交易额,日均订单量
0,1,3.6911196911196913,8.35483870967742
1,2,3.0851063829787235,5.035714285714286
2,3,4.302083333333333,6.193548387096774
3,4,3.7900677200902932,14.766666666666667
4,5,4.24113475177305,18.193548387096776
5,6,4.025961538461538,34.666666666666664
6,7,4.2271293375394325,10.225806451612904
7,8,3.316083916083916,23.06451612903226
8,9,3.899287894201424,32.766666666666666
9,10,3.8836424957841484,38.25806451612903
10,11,3.8619834710743803,40.333333333333336
11,12,3.572459410703548,53.645161290322584
