,日期,ABCDE每天总交易额,ABCDE每天总交易量
0,1月1日,22.1,7
1,1月2日,24,7
2,1月3日,28.3,10
3,1月4日,27,4
4,1月5日,11,3
5,1月6日,17.5,3
6,1月7日,3.5,1
7,1月8日,159.4,33
8,1月9日,360,75
9,1月10日,356,81
10,1月11日,67.4,19
11,1月12日,0,0
12,1月13日,0,0
13,1月14日,0,0
14,1月15日,8,2
15,1月16日,43.3,7
16,1月17日,2,1
17,1月18日,0,0
18,1月19日,0,0
19,1月20日,1.5,1
20,1月21日,7.5,2
21,1月22日,8.5,2
22,1月23日,3,1
23,1月24日,0,0
24,1月25日,7,2
25,1月26日,15.5,4
26,1月27日,14.5,5
27,1月28日,9.5,2
28,1月29日,45,10
29,1月30日,202.2,34
30,1月31日,66,19
31,2月1日,40.5,6
32,2月2日,63,14
33,2月3日,3,1
34,2月4日,36.5,5
35,2月5日,46,14
36,2月6日,0,0
37,2月7日,17,5
38,2月8日,8,3
39,2月9日,12,3
40,2月10日,5.5,2
41,2月11日,0,0
42,2月12日,2,1
43,2月13日,4,1
44,2月14日,0,0
45,2月15日,6.5,2
46,2月16日,15,5
47,2月17日,20,4
48,2月18日,23,7
49,2月19日,31,7
50,2月20日,10,3
51,2月21日,7,3
52,2月22日,15,4
53,2月23日,15,5
54,2月24日,19.5,7
55,2月25日,6.5,2
56,2月26日,3,1
57,2月27日,24.5,7
58,2月28日,7,2
59,3月1日,1,1
60,3月2日,0,0
61,3月3日,0,0
62,3月4日,0,0
63,3月5日,0,0
64,3月6日,0,0
65,3月7日,0,0
66,3月8日,0,0
67,3月9日,0,0
68,3月10日,0,0
69,3月11日,0,0
70,3月12日,0,0
71,3月13日,0,0
72,3月14日,0,0
73,3月15日,0,0
74,3月16日,0,0
75,3月17日,0,0
76,3月18日,0,0
77,3月19日,0,0
78,3月20日,0,0
79,3月21日,0,0
80,3月22日,0,0
81,3月23日,0,0
82,3月24日,0,0
83,3月25日,0,0
84,3月26日,0,0
85,3月27日,0,0
86,3月28日,70.5,21
87,3月29日,331.6,102
88,3月30日,322.5,91
89,3月31日,188.7,40
90,4月1日,171.9,45
91,4月2日,3,1
92,4月3日,32.5,10
93,4月4日,10.5,3
94,4月5日,17.5,5
95,4月6日,13,4
96,4月7日,25,8
97,4月8日,4.5,2
98,4月9日,27,7
99,4月10日,36,8
100,4月11日,47.5,14
101,4月12日,43.5,10
102,4月13日,84.7,20
103,4月14日,38,8
104,4月15日,36.8,13
105,4月16日,49,13
106,4月17日,87.2,21
107,4月18日,40,9
108,4月19日,72,17
109,4月20日,109.4,26
110,4月21日,116,27
111,4月22日,59.5,16
112,4月23日,104,25
113,4月24日,55,13
114,4月25日,80.1,19
115,4月26日,42.2,10
116,4月27日,109.7,28
