,日期,ABCDE每天总交易额,ABCDE每天总交易量
0,1月1日,28,6
1,1月2日,62.1,14
2,1月3日,36.3,6
3,1月4日,16,5
4,1月5日,10.5,3
5,1月6日,4.5,1
6,1月7日,39.8,3
7,1月8日,96.8,22
8,1月9日,324.4,71
9,1月10日,452,115
10,1月11日,144.5,25
11,1月12日,0,0
12,1月13日,1.8,1
13,1月14日,0,0
14,1月15日,9,2
15,1月16日,56.5,12
16,1月17日,7.5,2
17,1月18日,0,0
18,1月19日,7.7,2
19,1月20日,0,0
20,1月21日,18,5
21,1月22日,18,5
22,1月23日,0,0
23,1月24日,3.5,1
24,1月25日,7.5,2
25,1月26日,5.5,2
26,1月27日,7,2
27,1月28日,25.5,4
28,1月29日,63.8,16
29,1月30日,101.3,22
30,1月31日,93,30
31,2月1日,57,19
32,2月2日,73.5,20
33,2月3日,53.5,9
34,2月4日,91,24
35,2月5日,54.5,18
36,2月6日,0,0
37,2月7日,3,2
38,2月8日,19,5
39,2月9日,6,1
40,2月10日,28,2
41,2月11日,0,0
42,2月12日,2,1
43,2月13日,3.5,1
44,2月14日,3.5,1
45,2月15日,8,2
46,2月16日,10.5,3
47,2月17日,21.5,5
48,2月18日,60,13
49,2月19日,14.5,4
50,2月20日,28.5,8
51,2月21日,14.5,4
52,2月22日,62,17
53,2月23日,40,10
54,2月24日,35,9
55,2月25日,17,5
56,2月26日,26,8
57,2月27日,48,13
58,2月28日,12,3
59,3月1日,0,0
60,3月2日,0,0
61,3月3日,0,0
62,3月4日,0,0
63,3月5日,0,0
64,3月6日,0,0
65,3月7日,0,0
66,3月8日,0,0
67,3月9日,0,0
68,3月10日,0,0
69,3月11日,0,0
70,3月12日,0,0
71,3月13日,3,1
72,3月14日,0,0
73,3月15日,0,0
74,3月16日,0,0
75,3月17日,0,0
76,3月18日,0,0
77,3月19日,0,0
78,3月20日,0,0
79,3月21日,0,0
80,3月22日,0,0
81,3月23日,0,0
82,3月24日,0,0
83,3月25日,0,0
84,3月26日,0,0
85,3月27日,0,0
86,3月28日,157,43
87,3月29日,291,72
88,3月30日,375.4,104
89,3月31日,165.1,43
90,4月1日,192.6,46
91,4月2日,38.5,11
92,4月3日,27,5
93,4月4日,64,15
94,4月5日,16,5
95,4月6日,40,11
96,4月7日,47,9
97,4月8日,24,7
98,4月9日,52.5,14
99,4月10日,56.2,15
100,4月11日,84,22
101,4月12日,111.8,26
102,4月13日,123.5,24
103,4月14日,185.3,32
104,4月15日,118.5,19
105,4月16日,139.1,31
106,4月17日,153.8,34
107,4月18日,121.8,27
108,4月19日,110.1,31
109,4月20日,147,31
110,4月21日,99.3,27
111,4月22日,137.1,29
112,4月23日,123.5,35
113,4月24日,97,22
114,4月25日,110.7,27
115,4月26日,128.2,25
116,4月27日,175.1,46
117,4月28日,185.9,44
118,4月29日,176.7,36
119,4月30日,146.1,28
120,5月1日,95.1,21
121,5月2日,89.1,18
122,5月3日,70.1,12
123,5月4日,60.7,16
124,5月5日,120.5,17
125,5月6日,65.4,15
126,5月7日,106.8,18
127,5月8日,113.9,19
128,5月9日,51.8,12
129,5月10日,81.5,19
130,5月11日,76.2,21
131,5月12日,52.7,14
132,5月13日,95,23
133,5月14日,82.3,20
134,5月15日,80.2,22
135,5月16日,47.1,10
136,5月17日,92.5,21
137,5月18日,46.7,12
138,5月19日,247.6,41
139,5月20日,64.3,13
140,5月21日,140.7,34
141,5月22日,175,44
142,5月23日,210.9,46
143,5月24日,200.8,43
144,5月25日,129.1,36
145,5月26日,260.8,55
146,5月27日,230.9,39
147,5月28日,137.6,34
148,5月29日,247.7,47
149,5月30日,256.4,47
150,5月31日,0,0
151,6月1日,479.8,96
152,6月2日,410.5,81
153,6月3日,284.1,74
154,6月4日,329.7,79
155,6月5日,437.8,113
156,6月6日,290.2,75
157,6月7日,411.4,78
158,6月8日,270.3,53
159,6月9日,297.4,48
160,6月10日,209,45
161,6月11日,196.1,44
162,6月12日,174.2,34
163,6月13日,210.3,35
164,6月14日,148.1,32
165,6月15日,223.7,34
166,6月16日,243,58
167,6月17日,204.6,47
168,6月18日,228.7,55
169,6月19日,177,38
170,6月20日,214,55
171,6月21日,258.6,56
172,6月22日,322.1,70
173,6月23日,301.4,77
174,6月24日,308,76
175,6月25日,187.9,42
176,6月26日,253.3,60
177,6月27日,309,66
178,6月28日,272.8,67
179,6月29日,280.5,58
180,6月30日,538.7,136
181,7月1日,177.4,48
182,7月2日,203.8,40
183,7月3日,118,33
184,7月4日,209.7,46
185,7月5日,125.6,34
186,7月6日,3.5,1
187,7月7日,96.5,25
188,7月8日,54.5,15
189,7月9日,10.5,3
190,7月10日,0,0
191,7月11日,18,3
192,7月12日,5.5,2
193,7月13日,4.5,2
194,7月14日,27.5,7
195,7月15日,13.5,4
196,7月16日,0,0
197,7月17日,19.5,5
198,7月18日,45.3,15
199,7月19日,49.3,10
200,7月20日,25,8
201,7月21日,15.5,5
202,7月22日,1,1
203,7月23日,202,48
204,7月24日,300.5,78
205,7月25日,234.6,52
206,7月26日,109,32
207,7月27日,310.1,78
208,7月28日,141.8,30
209,7月29日,52.6,16
210,7月30日,258.7,71
211,7月31日,213.7,52
212,8月1日,110.2,31
213,8月2日,120.1,30
214,8月3日,131,36
215,8月4日,158.3,40
216,8月5日,198.5,52
217,8月6日,201.3,50
218,8月7日,215.5,60
219,8月8日,159,42
220,8月9日,117.5,30
221,8月10日,33,10
222,8月11日,142.5,38
223,8月12日,148,38
224,8月13日,227.5,52
225,8月14日,234.1,61
226,8月15日,179.1,49
227,8月16日,158.5,38
228,8月17日,325.5,82
229,8月18日,337.5,90
230,8月19日,264.6,74
231,8月20日,320.9,80
232,8月21日,120.3,31
233,8月22日,125.5,31
234,8月23日,130.5,29
235,8月24日,120,28
236,8月25日,215,46
237,8月26日,43,12
238,8月27日,100,24
239,8月28日,98.8,26
240,8月29日,67.6,17
241,8月30日,84.4,21
242,8月31日,39.5,11
243,9月1日,161.2,42
244,9月2日,207.5,48
