,日期,ABCDE每天总交易额,ABCDE每天总交易量
0,1月1日,15.5,3
1,1月2日,39.9,12
2,1月3日,19.9,6
3,1月4日,21.5,5
4,1月5日,3.5,1
5,1月6日,0,0
6,1月7日,7,2
7,1月8日,77.3,23
8,1月9日,234.1,61
9,1月10日,268,67
10,1月11日,38.6,10
11,1月12日,0,0
12,1月13日,2.5,1
13,1月14日,0,0
14,1月15日,4.5,1
15,1月16日,18,5
16,1月17日,3,1
17,1月18日,0,0
18,1月19日,0,0
19,1月20日,10,1
20,1月21日,0,0
21,1月22日,17,2
22,1月23日,3.5,1
23,1月24日,0,0
24,1月25日,0,0
25,1月26日,8.5,2
26,1月27日,8.5,2
27,1月28日,6,2
28,1月29日,17.4,6
29,1月30日,81.2,24
30,1月31日,51,21
31,2月1日,32,12
32,2月2日,58.5,16
33,2月3日,13,4
34,2月4日,41,15
35,2月5日,53.5,17
36,2月6日,0,0
37,2月7日,28.5,8
38,2月8日,11,4
39,2月9日,0,0
40,2月10日,6,2
41,2月11日,7,2
42,2月12日,0,0
43,2月13日,0,0
44,2月14日,2,2
45,2月15日,3,1
46,2月16日,30.5,10
47,2月17日,20,7
48,2月18日,20.5,7
49,2月19日,16,5
50,2月20日,10,3
51,2月21日,6.5,3
52,2月22日,10,2
53,2月23日,10,4
54,2月24日,10.5,4
55,2月25日,8,2
56,2月26日,3,1
57,2月27日,32,9
58,2月28日,3,1
59,3月1日,0,0
60,3月2日,0,0
61,3月3日,0,0
62,3月4日,0,0
63,3月5日,0,0
64,3月6日,0,0
65,3月7日,0,0
66,3月8日,0,0
67,3月9日,0,0
68,3月10日,0,0
69,3月11日,0,0
70,3月12日,0,0
71,3月13日,0,0
72,3月14日,0,0
73,3月15日,0,0
74,3月16日,0,0
75,3月17日,0,0
76,3月18日,0,0
77,3月19日,0,0
78,3月20日,0,0
79,3月21日,0,0
80,3月22日,0,0
81,3月23日,0,0
82,3月24日,0,0
83,3月25日,0,0
84,3月26日,0,0
85,3月27日,0,0
86,3月28日,100.6,32
87,3月29日,188.5,54
88,3月30日,229.9,65
89,3月31日,307.7,41
90,4月1日,165.6,40
91,4月2日,15.8,5
92,4月3日,38,7
93,4月4日,4,2
94,4月5日,16,4
95,4月6日,21.3,6
96,4月7日,13.5,4
97,4月8日,29.5,8
98,4月9日,40.3,12
99,4月10日,28,7
100,4月11日,66.5,19
101,4月12日,47.5,9
102,4月13日,69.5,17
103,4月14日,58.4,18
104,4月15日,55.5,13
105,4月16日,44.1,14
106,4月17日,105.8,25
107,4月18日,51.3,17
108,4月19日,65,19
109,4月20日,71.1,22
110,4月21日,53.1,15
111,4月22日,47.5,14
112,4月23日,82,20
113,4月24日,36.5,12
114,4月25日,43.9,12
115,4月26日,51.8,13
116,4月27日,104.8,27
117,4月28日,86.8,19
118,4月29日,83,21
119,4月30日,83,22
120,5月1日,66,16
121,5月2日,68.8,17
122,5月3日,56.4,10
123,5月4日,54.4,14
124,5月5日,68,16
125,5月6日,80.7,15
126,5月7日,81.2,18
127,5月8日,65,17
128,5月9日,54,13
129,5月10日,59.5,12
130,5月11日,69.4,16
131,5月12日,109.8,19
132,5月13日,39.3,11
133,5月14日,9.1,3
134,5月15日,46,13
135,5月16日,38.5,9
136,5月17日,45.1,10
137,5月18日,51.7,13
138,5月19日,115.3,28
139,5月20日,122.9,30
140,5月21日,76.8,24
141,5月22日,102.9,27
142,5月23日,112.6,30
143,5月24日,89.3,21
144,5月25日,103.6,19
145,5月26日,156.1,43
146,5月27日,122.9,28
147,5月28日,131,24
148,5月29日,64.7,23
149,5月30日,131.1,25
