,日期,ABCDE每天总交易额,ABCDE每天总交易量
0,1月1日,42,9
1,1月2日,58.4,9
2,1月3日,69.4,16
3,1月4日,156.5,9
4,1月5日,33,9
5,1月6日,3.5,1
6,1月7日,17,3
7,1月8日,159.8,33
8,1月9日,443.6,100
9,1月10日,220.9,55
10,1月11日,13.5,5
11,1月12日,7.5,2
12,1月13日,4,1
13,1月14日,8,2
14,1月15日,10.8,2
15,1月16日,42.5,11
16,1月17日,5.7,3
17,1月18日,0,0
18,1月19日,0,0
19,1月20日,2.4,1
20,1月21日,13,4
21,1月22日,7,3
22,1月23日,0,0
23,1月24日,0,0
24,1月25日,27,2
25,1月26日,16,4
26,1月27日,5,1
27,1月28日,24.8,6
28,1月29日,66.5,13
29,1月30日,138.5,34
30,1月31日,60.5,16
31,2月1日,100.5,31
32,2月2日,65.5,19
33,2月3日,54,15
34,2月4日,54.5,18
35,2月5日,46.7,14
36,2月6日,0,0
37,2月7日,4,1
38,2月8日,26.5,8
39,2月9日,0,0
40,2月10日,7.5,2
41,2月11日,22.5,6
42,2月12日,36.5,10
43,2月13日,14,4
44,2月14日,21,6
45,2月15日,31.5,9
46,2月16日,14,4
47,2月17日,29,10
48,2月18日,23.5,7
49,2月19日,117,17
50,2月20日,27.5,8
51,2月21日,37,10
52,2月22日,40.5,12
53,2月23日,54.5,15
54,2月24日,19.5,5
55,2月25日,33,8
56,2月26日,6,2
57,2月27日,38.5,13
58,2月28日,14,4
59,3月1日,3,1
60,3月2日,0,0
61,3月3日,12,2
62,3月4日,0,0
63,3月5日,0,0
64,3月6日,0,0
65,3月7日,0,0
66,3月8日,0,0
67,3月9日,0,0
68,3月10日,0,0
69,3月11日,0,0
70,3月12日,4,2
71,3月13日,0,0
72,3月14日,0,0
73,3月15日,0,0
74,3月16日,0,0
75,3月17日,0,0
76,3月18日,0,0
77,3月19日,0,0
78,3月20日,0,0
79,3月21日,0,0
80,3月22日,0,0
81,3月23日,0,0
82,3月24日,0,0
83,3月25日,0,0
84,3月26日,0,0
85,3月27日,0,0
86,3月28日,174,46
87,3月29日,565.1,140
88,3月30日,540.6,111
89,3月31日,208.3,48
90,4月1日,237.8,50
91,4月2日,48.7,13
92,4月3日,53,15
93,4月4日,30.5,9
94,4月5日,49.3,11
95,4月6日,58.8,18
96,4月7日,22,6
97,4月8日,88.2,24
98,4月9日,47,15
99,4月10日,67,18
100,4月11日,53.5,14
101,4月12日,73.4,23
102,4月13日,142.5,35
103,4月14日,127.8,39
104,4月15日,130.5,33
105,4月16日,171.9,41
106,4月17日,164.8,38
107,4月18日,199.8,44
108,4月19日,242,43
109,4月20日,169.8,41
110,4月21日,161,45
111,4月22日,140.1,29
112,4月23日,84.4,23
113,4月24日,78.8,23
114,4月25日,187.4,39
115,4月26日,116.2,28
116,4月27日,130.9,33
117,4月28日,205.3,44
118,4月29日,233,50
119,4月30日,207.7,51
120,5月1日,190.4,45
121,5月2日,163.7,44
122,5月3日,90.5,24
123,5月4日,153.2,37
124,5月5日,138,33
125,5月6日,188.4,26
126,5月7日,124.3,27
127,5月8日,83.7,19
128,5月9日,116.5,23
129,5月10日,85.9,25
130,5月11日,100.6,24
131,5月12日,116,26
132,5月13日,127.5,25
133,5月14日,102.2,22
134,5月15日,114,22
135,5月16日,106.7,19
136,5月17日,135,28
137,5月18日,189.8,38
138,5月19日,300.6,67
139,5月20日,191.5,44
140,5月21日,249.1,50
141,5月22日,269,61
142,5月23日,309.8,74
143,5月24日,245.9,64
144,5月25日,239.2,54
145,5月26日,375.7,97
146,5月27日,212.6,48
147,5月28日,300,66
148,5月29日,377.3,87
149,5月30日,301.9,73
150,5月31日,0,0
151,6月1日,484.5,129
152,6月2日,409,91
153,6月3日,346.1,94
154,6月4日,482.1,135
155,6月5日,324.8,90
156,6月6日,364.3,100
157,6月7日,397.3,89
158,6月8日,345.2,87
159,6月9日,264,82
160,6月10日,430.2,102
161,6月11日,322.1,104
162,6月12日,302.5,85
163,6月13日,366,80
164,6月14日,185.4,52
165,6月15日,300.4,85
166,6月16日,414.2,95
167,6月17日,196.1,62
168,6月18日,196.5,49
169,6月19日,368.8,93
170,6月20日,347.3,83
171,6月21日,399.5,98
172,6月22日,173.3,57
173,6月23日,265.3,73
174,6月24日,202.5,51
175,6月25日,209.5,64
176,6月26日,360.1,84
177,6月27日,374.8,99
178,6月28日,458.6,113
179,6月29日,187.8,59
180,6月30日,421.5,108
181,7月1日,65.7,24
182,7月2日,35,14
183,7月3日,40.5,11
184,7月4日,45.2,17
185,7月5日,55.9,18
186,7月6日,0,0
187,7月7日,29.1,11
188,7月8日,15.6,7
189,7月9日,11.5,4
190,7月10日,3.5,1
191,7月11日,65,8
192,7月12日,9.5,3
193,7月13日,5.4,3
194,7月14日,35.8,7
195,7月15日,22.1,5
196,7月16日,9,3
197,7月17日,4.5,2
198,7月18日,46.8,9
199,7月19日,6,3
200,7月20日,19.5,6
201,7月21日,14.5,5
202,7月22日,21,6
203,7月23日,74.5,17
204,7月24日,567.8,133
205,7月25日,293.1,78
206,7月26日,267.2,71
207,7月27日,341.2,90
208,7月28日,120.1,27
209,7月29日,40.8,11
210,7月30日,445.7,100
211,7月31日,474.9,119
212,8月1日,222,56
213,8月2日,116.6,31
214,8月3日,139.4,40
215,8月4日,193.1,49
216,8月5日,214.5,57
217,8月6日,386.8,76
218,8月7日,204.1,55
219,8月8日,173,43
220,8月9日,167.5,34
221,8月10日,60.3,20
222,8月11日,174.5,41
223,8月12日,107.1,32
224,8月13日,230.6,67
225,8月14日,201.6,51
226,8月15日,234.4,66
227,8月16日,184.6,44
228,8月17日,709.3,180
229,8月18日,651.5,177
230,8月19日,259.8,77
231,8月20日,631.7,164
232,8月21日,232.8,57
233,8月22日,290.3,72
234,8月23日,103,30
235,8月24日,146,41
236,8月25日,147,45
237,8月26日,92,26
238,8月27日,86.8,26
239,8月28日,124.7,33
240,8月29日,49.5,17
241,8月30日,160.5,51
242,8月31日,27.5,9
243,9月1日,397.7,109
244,9月2日,486.9,114
245,9月3日,481.6,118
246,9月4日,256.7,63
247,9月5日,141.4,36
248,9月6日,733.7,163
249,9月7日,519.2,114
250,9月8日,540.5,138
251,9月9日,464.2,121
252,9月10日,607.2,162
253,9月11日,716.3,159
254,9月12日,286.5,67
255,9月13日,450.9,102
256,9月14日,510.1,138
257,9月15日,766.1,197
258,9月16日,610.9,145
259,9月17日,1135.9,262
260,9月18日,359.6,89
261,9月19日,92.8,26
262,9月20日,681.5,186
263,9月21日,719.5,174
264,9月22日,803.6,178
265,9月23日,817.8,206
266,9月24日,794.2,186
267,9月25日,462.6,110
